Easy4D Code;EAN Code;Designation;Category  tyre name;Brand name;Family name;Width;Height;diameter;Construction;Load index;Speed index;Segment
Z852697;8807622100901;285/45 R 19   111V   NEXEN   ROADIAN HP  XL ;AUTO;NEXEN;4x4 ete;285;45;19;R;111;V;Quality
Z852696;8807622547300;285/50 R 20   116V   NEXEN   ROADIAN HP  XL ;AUTO;NEXEN;4x4 ete;285;50;20;R;116;V;Quality
Z850863;8680830006315;540/65 R 30   143A8   PETLAS   TA110;AGRICOLE;PETLAS;tracteur;540;65;30;R;143;A8;Budget
Z850860;8680830006285;440/65 R 28   131A8   PETLAS   TA110;AGRICOLE;PETLAS;tracteur;440;65;28;R;131;A8;Budget
Z816914;3528706970580;155/65 R 13   73T   KORMORAN   IMPULSER B2;AUTO;KORMORAN;Tourisme ete;155;65;13;R;73;T;Budget
Z816912;3528706548642;175/70 R 14   84T   KORMORAN   IMPULSER B2;AUTO;KORMORAN;Tourisme ete;175;70;14;R;84;T;Budget
Z1199888;6959655483635;205/60 R 16   96V   ROVELO   ALL WEATHER R4S XL;AUTO;ROVELO;Tourisme 4saisons;205;60;16;R;96;V;Budget
Z1198103;8019227271126;315/40 R 21   111H   PIRELLI   SCORPION ZERO ALL SEASON (MO);AUTO;PIRELLI;4x4 4saisons;315;40;21;R;111;H;Premium
Z1193784;8808956298326;165/60 R 15   77H   KUMHO   Solus 4S HA32;AUTO;KUMHO;Tourisme 4saisons;165;60;15;R;77;H;Quality
Z1193783;8808956298333;185/65 R 15   92V   KUMHO   Solus 4S HA32 XL;AUTO;KUMHO;Tourisme 4saisons;185;65;15;R;92;V;Quality
S936881;3286340950015;205/60 R 15   91V   SEIBERLING   TOURING 2;AUTO;SEIBERLING;Tourisme ete;205;60;15;R;91;V;Budget
S935934;0029142910534;175/70 R 13   82H   AVON   CR6ZZ;AUTO;AVON;Tourisme collection;175;70;13;R;82;H
S935316;6970310405007;185/55 R 15   82H   FORTUNE   FSR801;AUTO;FORTUNE;Tourisme ete;185;55;15;R;82;H;Budget
S935235;4717784501253;80/100 - 21   51M   MAXXIS   M-7304 MAXXCROSS IT E;MOTO QUAD LOISIRS;MAXXIS;Moto Cross;80;100;21;-;51;M;Budget
S934830;8886459502355;185/65 R 15   88H   RADAR   RIVERA PRO 2;AUTO;RADAR;Tourisme ete;185;65;15;R;88;H;Budget
S934829;8886459502249;175/70 R 13   82T   RADAR   RIVERA PRO 2;AUTO;RADAR;Tourisme ete;175;70;13;R;82;T;Budget
S934817;0029142901600;185/65 R 15   92T   COOPER TIRES   CS7 XL;AUTO;COOPER TIRES;Tourisme ete;185;65;15;R;92;T;Quality
S934816;0029142901754;195/65 R 15   91H   COOPER TIRES   CS7;AUTO;COOPER TIRES;Tourisme ete;195;65;15;R;91;H;Quality
S934791;6953913153919;195/55 R 15   85H   OVATION   VI-782 AS XL;AUTO;OVATION;Tourisme 4saisons;195;55;15;R;85;H;Budget
S934790;6953913154046;165/65 R 14   79T   OVATION   VI-782 AS;AUTO;OVATION;Tourisme 4saisons;165;65;14;R;79;T;Budget
